Glyph Name,Unicode Codepoint (hex),Character
uniE1E4,U+E1E4,
uniE1E5,U+E1E5,
uniE1E6,U+E1E6,
uniE1E7,U+E1E7,
uniE1E8,U+E1E8,
uniE1E9,U+E1E9,
uniE1EA,U+E1EA,
uniE1EB,U+E1EB,
uniE1EC,U+E1EC,
uniE1ED,U+E1ED,
uniE1EE,U+E1EE,
uniE1EF,U+E1EF,
uniE1F0,U+E1F0,
uniE1F1,U+E1F1,
uniE1F2,U+E1F2,
uniE1F3,U+E1F3,
uniE1F4,U+E1F4,
uniE1F5,U+E1F5,
uniE1F6,U+E1F6,
uniE1F7,U+E1F7,
uniE1F8,U+E1F8,
uniE1F9,U+E1F9,
uniE1FA,U+E1FA,
uniE1FB,U+E1FB,
uniE1FC,U+E1FC,
uniE1FD,U+E1FD,
uniE1FE,U+E1FE,
uniE1FF,U+E1FF,
uniE200,U+E200,
uniE201,U+E201,
uniE202,U+E202,
uniE203,U+E203,
uniE204,U+E204,
uniE205,U+E205,
uniE206,U+E206,
uniE207,U+E207,
uniE208,U+E208,
uniE209,U+E209,
uniE20A,U+E20A,
uniE20B,U+E20B,
uniE20C,U+E20C,
uniE20D,U+E20D,
uniE20E,U+E20E,
uniE20F,U+E20F,
uniE210,U+E210,
uniE211,U+E211,
uniE212,U+E212,
uniE213,U+E213,
uniE214,U+E214,
uniE215,U+E215,
uniE216,U+E216,
uniE217,U+E217,
uniE218,U+E218,
uniE219,U+E219,
uniE21A,U+E21A,
uniE21B,U+E21B,
uniE21C,U+E21C,
uniE21D,U+E21D,
uniE21E,U+E21E,
uniE21F,U+E21F,
uniE220,U+E220,
uniE221,U+E221,
uniE222,U+E222,
uniE223,U+E223,
uniE224,U+E224,
uniE225,U+E225,
uniE226,U+E226,
uniE227,U+E227,
uniE228,U+E228,
uniE229,U+E229,
uniE22A,U+E22A,
uniE22B,U+E22B,
uniE22C,U+E22C,
uniE22D,U+E22D,
uniE22E,U+E22E,
uniE22F,U+E22F,
uniE230,U+E230,
uniE231,U+E231,
uniE232,U+E232,
uniE233,U+E233,
uniE234,U+E234,
uniE235,U+E235,
uniE236,U+E236,
uniE237,U+E237,
uniE238,U+E238,
uniE239,U+E239,
uniE23A,U+E23A,
uniE23B,U+E23B,
uniE23C,U+E23C,
uniE23D,U+E23D,
uniE23E,U+E23E,
uniE23F,U+E23F,
uniE240,U+E240,
uniE241,U+E241,
uniE242,U+E242,
uniE243,U+E243,
uniE244,U+E244,
uniE245,U+E245,
uniE246,U+E246,
uniE247,U+E247,
uniE248,U+E248,
uniE249,U+E249,
uniE24A,U+E24A,
uniE24B,U+E24B,
uniE24C,U+E24C,
uniE24D,U+E24D,
uniE24E,U+E24E,
uniE24F,U+E24F,
uniE250,U+E250,
uniE251,U+E251,
uniE252,U+E252,
uniE253,U+E253,
uniE254,U+E254,
uniE255,U+E255,
uniE256,U+E256,
uniE257,U+E257,
uniE258,U+E258,
uniE259,U+E259,
uniE25A,U+E25A,
uniE25B,U+E25B,
uniE25C,U+E25C,
uniE25D,U+E25D,
